,id,name,equation,definition,enzyme,substrates,products,stoichiometry_substrates,stoichiometry_products
9345,R10523,S-adenosyl-L-methionine:L-histidine Nalpha-methyltransferase,C00019 + C00135 <=> C00021 + C03298,S-Adenosyl-L-methionine + L-Histidine <=> S-Adenosyl-L-homocysteine + Nalpha-Methylhistidine,2.1.1.44,"['C00019', 'C00135']","['C00021', 'C03298']","[1, 1]","[1, 1]"
9346,R10524,S-adenosyl-L-methionine:Nalpha-methyl-L-histidine Nalpha-methyltransferase,C00019 + C03298 <=> C00021 + C04259,"S-Adenosyl-L-methionine + Nalpha-Methylhistidine <=> S-Adenosyl-L-homocysteine + N,N-Dimethylhistidine",2.1.1.44,"['C00019', 'C03298']","['C00021', 'C04259']","[1, 1]","[1, 1]"
9347,R10525,NDP-alpha-D-glucose:D-glucose 1-alpha-D-glucosyltransferase,C15541 + C00031 <=> C01083 + C00454,"NDP-glucose + D-Glucose <=> alpha,alpha-Trehalose + NDP",2.4.1.245,"['C15541', 'C00031']","['C01083', 'C00454']","[1, 1]","[1, 1]"
9348,R10526,"isovaleryl-CoA:S-adenosyl-L-methionine isovaleryltranserase (lactone-forming, methylthioadenosine-releasing)",C02939 + C00019 <=> C00010 + C00170 + C20673,3-Methylbutanoyl-CoA + S-Adenosyl-L-methionine <=> CoA + 5'-Methylthioadenosine + N-Isovaleryl-L-homoserine lactone,2.3.1.228,"['C02939', 'C00019']","['C00010', 'C00170', 'C20673']","[1, 1]","[1, 1, 1]"
9349,R10527,"(S)-2-(4-chloro-2-methylphenoxy)propanoate,2-oxoglutarate:oxygen oxidoreductase (pyruvate-forming)",C20686 + C00026 + C00007 <=> C03359 + C00022 + C00042 + C00011,(S)-2-(4-Chloro-2-methylphenoxy)propanoate + 2-Oxoglutarate + Oxygen <=> 4-Chloro-2-methylphenol + Pyruvate + Succinate + CO2,1.14.11.43,"['C20686', 'C00026', 'C00007']","['C03359', 'C00022', 'C00042', 'C00011']","[1, 1, 1]","[1, 1, 1, 1]"
9350,R10528,(R)-2-hydroxycarboxylate:NADP+ oxidoreductase,C02489 + C00006 <=> C00161 + C00005 + C00080,(R)-2-Hydroxyacid + NADP+ <=> 2-Oxo acid + NADPH + H+,1.1.1.272,"['C02489', 'C00006']","['C00161', 'C00005', 'C00080']","[1, 1]","[1, 1, 1]"
9351,R10529,"4-coumaroyl-CoA:S-adenosyl-L-methionine trans-4-coumaroyltranserase (lactone-forming, methylthioadenosine-releasing)",C00223 + C00019 <=> C00010 + C00170 + C20677,p-Coumaroyl-CoA + S-Adenosyl-L-methionine <=> CoA + 5'-Methylthioadenosine + N-(4-Coumaroyl)-L-homoserine lactone,2.3.1.229,"['C00223', 'C00019']","['C00010', 'C00170', 'C20677']","[1, 1]","[1, 1, 1]"
9352,R10530,protodioscin glucohydrolase,C08907 + C00001 <=> C20678 + C00031,Protodioscin + H2O <=> 26-Deglucoprotodioscin + D-Glucose,3.2.1.186,"['C08907', 'C00001']","['C20678', 'C00031']","[1, 1]","[1, 1]"
9353,R10531,"ATP phosphohydrolase (ABC-type, tungstate-importing)",C00002 + C00001 + C20679 <=> C00008 + C00009 + C20679,ATP + H2O + Tungstate <=> ADP + Orthophosphate + Tungstate,7.3.2.6,"['C00002', 'C00001', 'C20679']","['C00008', 'C00009', 'C20679']","[1, 1, 1]","[1, 1, 1]"
9354,R10532,L-galactonate hydro-lyase (2-dehydro-3-deoxy-L-galactonate-forming),C15930 <=> C20680 + C00001,L-Galactonate <=> 2-Dehydro-3-deoxy-L-galactonate + H2O,4.2.1.146,['C15930'],"['C20680', 'C00001']",[1],"[1, 1]"
9355,R10533,"geranylgeranyl-diphosphate diphosphate-lyase [(E,E)-geranyllinalool-forming]",C00353 + C00001 <=> C20681 + C00013,"Geranylgeranyl diphosphate + H2O <=> (E,E)-Geranyllinalool + Diphosphate",4.2.3.144,"['C00353', 'C00001']","['C20681', 'C00013']","[1, 1]","[1, 1]"
9356,R10534,carbon-disulfide hydrogen-sulfide-lyase (carbonyl-sulfide-forming),C19033 + C00001 <=> C07331 + C00283,Carbon disulfide + H2O <=> Carbonyl sulfide + Hydrogen sulfide,3.13.1.5,"['C19033', 'C00001']","['C07331', 'C00283']","[1, 1]","[1, 1]"
9357,R10535,carbonyl-sulfide hydrogen-sulfide-lyase (decarboxylating),C07331 + C00001 <=> C00011 + C00283,Carbonyl sulfide + H2O <=> CO2 + Hydrogen sulfide,3.13.1.5        3.13.1.7,"['C07331', 'C00001']","['C00011', 'C00283']","[1, 1]","[1, 1]"
9358,R10536,dTDP-alpha-D-fucopyranose furanomutase,C07277 <=> C20682,dTDP-D-fucose <=> dTDP-alpha-D-fucofuranose,5.4.99.59,['C07277'],['C20682'],[1],[1]
9359,R10537,"RNA-3'-phosphate:RNA ligase (cyclizing, GMP-forming)",C00044 + C03638 <=> C00144 + C00013 + C04312,"GTP + RNA 3'-terminal-phosphate <=> GMP + Diphosphate + RNA terminal-2',3'-cyclic-phosphate",6.5.1.5,"['C00044', 'C03638']","['C00144', 'C00013', 'C04312']","[1, 1]","[1, 1, 1]"
9360,R10538,carbon-disulfide hydrogen-sulfide-lyase (decarboxylating),C19033 + 2 C00001 <=> C00011 + 2 C00283,Carbon disulfide + 2 H2O <=> CO2 + 2 Hydrogen sulfide,3.13.1.5,"['C19033', 'C00001']","['C00011', 'C00283']","[1, '2']","[1, '2']"
9361,R10539,"(R)-2-(4-chloro-2-methylphenoxy)propanoate,2-oxoglutarate:oxygen oxidoreductase (pyruvate-forming)",C18608 + C00026 + C00007 <=> C03359 + C00022 + C00042 + C00011,Mecoprop-P + 2-Oxoglutarate + Oxygen <=> 4-Chloro-2-methylphenol + Pyruvate + Succinate + CO2,1.14.11.44,"['C18608', 'C00026', 'C00007']","['C03359', 'C00022', 'C00042', 'C00011']","[1, 1, 1]","[1, 1, 1, 1]"
9362,R10540,"dammarenediol-II,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (12beta-hydroxylating)",C19829 + C03024 + C00007 <=> C20715 + C03161 + C00001,Dammarenediol-II + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Protopanaxadiol + [Oxidized NADPH---hemoprotein reductase] + H2O,1.14.14.120,"['C19829', 'C03024', 'C00007']","['C20715', 'C03161', 'C00001']","[1, 1, 1]","[1, 1, 1]"
9363,R10541,Carbamoyl phosphate + ATP + H2O <=> Diphosphate + O-Carbamoyladenylate + Orthophosphate,C00169 + C00002 + C00001 <=> C00013 + C20684 + C00009,Carbamoyl phosphate + ATP + H2O <=> Diphosphate + O-Carbamoyladenylate + Orthophosphate,6.1.2.2,"['C00169', 'C00002', 'C00001']","['C00013', 'C20684', 'C00009']","[1, 1, 1]","[1, 1, 1]"
9364,R10542,"(R)-2-(4-chloro-2-dichlorophenoxy)propanoate,2-oxoglutarate:oxygen oxidoreductase (pyruvate-forming)",C20685 + C00026 + C00007 <=> C02625 + C00022 + C00042 + C00011,"(R)-(2,4-Dichlorophenoxy)propanoate + 2-Oxoglutarate + Oxygen <=> 2,4-Dichlorophenol + Pyruvate + Succinate + CO2",1.14.11.44,"['C20685', 'C00026', 'C00007']","['C02625', 'C00022', 'C00042', 'C00011']","[1, 1, 1]","[1, 1, 1, 1]"
9365,R10543,"tobramycin:carbamoyl phosphate ligase (AMP,phosphate-forming)",C20684 + C00397 <=> C00020 + C18001,O-Carbamoyladenylate + Tobramycin <=> AMP + Nebramycin 5',6.1.2.2,"['C20684', 'C00397']","['C00020', 'C18001']","[1, 1]","[1, 1]"
9366,R10544,"kanamycin A:carbamoyl phosphate ligase (AMP,phosphate-forming)",C20684 + C01822 <=> C00020 + C20699,O-Carbamoyladenylate + Kanamycin A <=> AMP + 6''-O-Carbamoylkanamycin A,6.1.2.2,"['C20684', 'C01822']","['C00020', 'C20699']","[1, 1]","[1, 1]"
9367,R10545,aclacinomycin T acylhydrolase,C18634 + C00001 <=> C20689 + C00132,Aclacinomycin T + H2O <=> 15-Demethylaclacinomycin T + Methanol,3.1.1.95,"['C18634', 'C00001']","['C20689', 'C00132']","[1, 1]","[1, 1]"
9368,R10546,N7-methyl-GMP phosphohydrolase,C03998 + C00001 <=> C20674 + C00009,7-Methylguanosine 5'-phosphate + H2O <=> N7-Methylguanosine + Orthophosphate,3.1.3.91,"['C03998', 'C00001']","['C20674', 'C00009']","[1, 1]","[1, 1]"
9369,R10547,kanosamine-6-phosphate phosphohydrolase,C12213 + C00001 <=> C12212 + C00009,Kanosamine 6-phosphate + H2O <=> Kanosamine + Orthophosphate,3.1.3.92,"['C12213', 'C00001']","['C12212', 'C00009']","[1, 1]","[1, 1]"
9370,R10548,"ATP:1D-myo-inositol 1-diphosphate 2,3,4,5,6-pentakisphosphate 5-phosphotransferase",C00002 + C11174 <=> C00008 + C20690,"ATP + 1-Diphosinositol pentakisphosphate <=> ADP + 1D-myo-Inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate",2.7.4.21,"['C00002', 'C11174']","['C00008', 'C20690']","[1, 1]","[1, 1]"
9371,R10549,long-chain-aldehyde:NADP+ oxidoreductase (protein thioester-forming),C00609 + C02743 + C00006 <=> C03371 + C00005 + C00080,Long-chain aldehyde + [Protein]-L-cysteine + NADP+ <=> [Protein]-S-(long-chain-acyl)-L-cysteine + NADPH + H+,1.2.1.50,"['C00609', 'C02743', 'C00006']","['C03371', 'C00005', 'C00080']","[1, 1, 1]","[1, 1, 1]"
9372,R10550,2-dehydro-3-deoxy-L-galactonate L-glyceraldehyde-lyase (pyruvate-forming),C20680 <=> C00022 + C02426,2-Dehydro-3-deoxy-L-galactonate <=> Pyruvate + L-Glyceraldehyde,4.1.2.54,['C20680'],"['C00022', 'C02426']",[1],"[1, 1]"
9373,R10551,"long-chain-aldehyde,FMNH2:oxygen oxidoreductase (1-hydroxylating, luminescing)",C00609 + C01847 + C00007 <=> C00638 + C00205 + C00061 + C00001,Long-chain aldehyde + Reduced FMN + Oxygen <=> Long-chain fatty acid + hn + FMN + H2O,1.14.14.3,"['C00609', 'C01847', 'C00007']","['C00638', 'C00205', 'C00061', 'C00001']","[1, 1, 1]","[1, 1, 1, 1]"
9374,R10552,"tRNA(Phe)-N1-methylguanine,pyruvate acetaldehyde-lyase [tRNA(Phe)-4-demethylwyosine-forming, decarboxylating, dehydrating]",C20688 + C00022 + C00019 <=> C20691 + C00073 + C05198 + C00011 + C00001,N1-Methylguanine in tRNA(Phe) + Pyruvate + S-Adenosyl-L-methionine <=> 4-Demethylwyosine in tRNA(Phe) + L-Methionine + 5'-Deoxyadenosine + CO2 + H2O,4.1.3.44,"['C20688', 'C00022', 'C00019']","['C20691', 'C00073', 'C05198', 'C00011', 'C00001']","[1, 1, 1]","[1, 1, 1, 1, 1]"
9375,R10553,N-acetyl-L-cysteine-S-conjugate amidohydrolase (carboxylate-forming),C05727 + C00001 <=> C05726 + C00033,S-Substituted N-acetyl-L-cysteine + H2O <=> S-Substituted L-cysteine + Acetate,3.5.1.14        3.5.1.114,"['C05727', 'C00001']","['C05726', 'C00033']","[1, 1]","[1, 1]"
9376,R10554,"N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase",C01289 <=> C20620,"N-Acetyl-D-glucosaminyldiphosphoundecaprenol <=> N-Acetyl-alpha-D-galactosaminyl-diphospho-ditrans,octacis-undecaprenol",5.1.3.26,['C01289'],['C20620'],[1],[1]
9377,R10555,"alpha-D-ribose 1,5-bisphosphate aldose-ketose-isomerase",C01151 <=> C01182,"D-Ribose 1,5-bisphosphate <=> D-Ribulose 1,5-bisphosphate",5.3.1.29,['C01151'],['C01182'],[1],[1]
9378,R10556,"(2S,5S)-5-carboxymethylproline cyclo-ligase (AMP-forming)",C00002 + C17366 <=> C00020 + C00013 + C17367,"ATP + (2S,5S)-trans-Carboxymethylproline <=> AMP + Diphosphate + (3S,5S)-Carbapenam-3-carboxylic acid",6.3.3.6,"['C00002', 'C17366']","['C00020', 'C00013', 'C17367']","[1, 1]","[1, 1, 1]"
9379,R10557,"9-cis-beta-carotene:O2 oxidoreductase (9',10'-cleaving)",C20484 + C00007 <=> C20692 + C12287,9-cis-beta-Carotene + Oxygen <=> 9-cis-10'-Apo-beta-carotenal + beta-Ionone,1.13.11.68,"['C20484', 'C00007']","['C20692', 'C12287']","[1, 1]","[1, 1]"
9380,R10558,"9-cis-10'-apo-beta-carotenal:O2 oxidoreductase (14,15-cleaving, carlactone-forming)",C20692 + 2 C00007 <=> C20693 + C20694,"9-cis-10'-Apo-beta-carotenal + 2 Oxygen <=> Carlactone + (2E,4E,6E)-7-Hydroxy-4-methylhepta-2,4,6-trienal",1.13.11.69,"['C20692', 'C00007']","['C20693', 'C20694']","[1, '2']","[1, 1]"
9381,R10559,"all-trans-beta-carotene:O2 oxidoreductase (9',10'-cleaving)",C02094 + C00007 <=> C20695 + C12287,beta-Carotene + Oxygen <=> all-trans-10'-Apo-beta-carotenal + beta-Ionone,1.13.11.71,"['C02094', 'C00007']","['C20695', 'C12287']","[1, 1]","[1, 1]"
9382,R10560,"all-trans-10'-apo-beta-carotenal:O2 oxidoreductase (13,14-cleaving)",C20695 + C00007 <=> C20696 + C20697,"all-trans-10'-Apo-beta-carotenal + Oxygen <=> 13-Apo-beta-carotenone + (2E,4E,6E)-4-Methylocta-2,4,6-trienedial",1.13.11.70,"['C20695', 'C00007']","['C20696', 'C20697']","[1, 1]","[1, 1]"
9383,R10561,ATP:phosphomevalonate carboxy-lyase (adding ATP,C01107 + C00002 <=> C20345 + C00008 + C00009 + C00011,(R)-5-Phosphomevalonate + ATP <=> Isopentenyl phosphate + ADP + Orthophosphate + CO2,4.1.1.99,"['C01107', 'C00002']","['C20345', 'C00008', 'C00009', 'C00011']","[1, 1]","[1, 1, 1, 1]"
9384,R10562,"(6E,10E)-geranyllinalool,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase",C20681 + C03024 + C00007 <=> C20700 + C20701 + C03161 + 2 C00001,"(E,E)-Geranyllinalool + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (E,E)-4,8,12-Trimethyltrideca-1,3,7,11-tetraene + But-3-en-2-one + [Oxidized NADPH---hemoprotein reductase] + 2 H2O",1.14.14.58,"['C20681', 'C03024', 'C00007']","['C20700', 'C20701', 'C03161', 'C00001']","[1, 1, 1]","[1, 1, 1, '2']"
9385,R10563,glycerol:NADP+ oxidoreductase (D/L-glyceraldehyde-forming),C02426 + C00005 + C00080 <=> C00116 + C00006,L-Glyceraldehyde + NADPH + H+ <=> Glycerol + NADP+,1.1.1.372,"['C02426', 'C00005', 'C00080']","['C00116', 'C00006']","[1, 1, 1]","[1, 1]"
9386,R10564,(5S)-5-amino-3-oxohexanoate:acetyl-CoA ethylamine transferase,C03656 + C00024 <=> C05231 + C00164,(S)-5-Amino-3-oxohexanoic acid + Acetyl-CoA <=> L-3-Aminobutyryl-CoA + Acetoacetate,2.3.1.247,"['C03656', 'C00024']","['C05231', 'C00164']","[1, 1]","[1, 1]"
9387,R10565,L-galactonate:NAD+ oxidoreductase,C15930 + C00003 <=> C00333 + C00004 + C00080,L-Galactonate + NAD+ <=> D-Galacturonate + NADH + H+,1.1.1.-,"['C15930', 'C00003']","['C00333', 'C00004', 'C00080']","[1, 1]","[1, 1, 1]"
9388,R10566,beta-Paxitriol <=> Penitrem D,C20593 <=> C20596,beta-Paxitriol <=> Penitrem D,,['C20593'],['C20596'],[1],[1]
9389,R10569,beta-Paxitriol <=> Janthitrem C,C20593 <=> C20601,beta-Paxitriol <=> Janthitrem C,,['C20593'],['C20601'],[1],[1]
9390,R10570,"12-Demethyl-11,12-dehydropaspaline <=> Terpendole B",C20534 <=> C20528,"12-Demethyl-11,12-dehydropaspaline <=> Terpendole B",,['C20534'],['C20528'],[1],[1]
9391,R10571,Terpendole B <=> 13-Desoxyterpendole I,C20528 <=> C20542,Terpendole B <=> 13-Desoxyterpendole I,,['C20528'],['C20542'],[1],[1]
9392,R10572,quinol:coenzyme-F420 oxidoreductase,C15603 + C00876 <=> C15602 + C01080,Hydroquinone + Coenzyme F420 <=> Quinone + Reduced coenzyme F420,1.1.98.4,"['C15603', 'C00876']","['C15602', 'C01080']","[1, 1]","[1, 1]"
9393,R10573,dTDP-6-deoxy-alpha-D-allose:NADP+ oxidoreductase,C11912 + C00006 <=> C11926 + C00005 + C00080,dTDP-6-deoxy-D-allose + NADP+ <=> dTDP-4-oxo-6-deoxy-D-allose + NADPH + H+,1.1.1.364,"['C11912', 'C00006']","['C11926', 'C00005', 'C00080']","[1, 1]","[1, 1, 1]"
9394,R10574,secondary-alcohol:coenzyme F420 oxidoreductase,C01612 + C00876 <=> C01450 + C01080,Secondary alcohol + Coenzyme F420 <=> Ketone + Reduced coenzyme F420,1.1.98.5,"['C01612', 'C00876']","['C01450', 'C01080']","[1, 1]","[1, 1]"
9395,R10575,(R)-2-hydroxyglutarate:acceptor 2-oxidoreductase,C01087 + C00028 <=> C00026 + C00030,(R)-2-Hydroxyglutarate + Acceptor <=> 2-Oxoglutarate + Reduced acceptor,1.1.99.39,"['C01087', 'C00028']","['C00026', 'C00030']","[1, 1]","[1, 1]"
9396,R10576,oleate:oxygen (10S)-oxidoreductase,C00712 + C00007 <=> C20702,"(9Z)-Octadecenoic acid + Oxygen <=> (8E,10S)-10-Hydroperoxyoctadeca-8-enoate",1.13.11.77,"['C00712', 'C00007']",['C20702'],"[1, 1]",[1]
9397,R10577,linoleate:oxygen (10S)-oxidoreductase,C01595 + C00007 <=> C20703,"Linoleate + Oxygen <=> (8E,10S,12Z)-10-Hydroperoxyoctadeca-8,12-dienoate",1.13.11.77,"['C01595', 'C00007']",['C20703'],"[1, 1]",[1]
9398,R10578,alpha-linolenate:oxygen (10S)-oxidoreductase,C06427 + C00007 <=> C20704,"(9Z,12Z,15Z)-Octadecatrienoic acid + Oxygen <=> (8E,10S,12Z,15Z)-10-Hydroperoxyoctadeca-8,12,15-trienoate",1.13.11.77,"['C06427', 'C00007']",['C20704'],"[1, 1]",[1]
9399,R10579,"4-O-(beta-L-arabinofuranosyl-(1->2)-beta-L-arabinofuranosyl-(1->2)-beta-L-arabinofuranosyl)-(2S,4S)-4-hydroxyproline beta-L-arabinofuranosyl-(1->2)-beta-L-arabinofuranose hydrolase",C20705 + C00001 <=> C20706 + C20568,"4-O-(beta-L-Arabinofuranosyl-(1->2)-beta-L-arabinofuranosyl-(1->2)-beta-L-arabinofuranosyl)-(2S,4S)-4-hydroxyproline + H2O <=> 4-O-(beta-L-Arabinofuranosyl)-(2S,4S)-4-hydroxyproline + beta-L-Arabinofuranosyl-(1->2)-beta-L-arabinofuranose",3.2.1.187,"['C20705', 'C00001']","['C20706', 'C20568']","[1, 1]","[1, 1]"
9400,R10580,avenacoside B 26-beta-D-glucohydrolase,C08888 + C00001 <=> C20707 + C00031,Avenacoside B + H2O <=> 26-Desgluco-avenacoside B + D-Glucose,3.2.1.188,"['C08888', 'C00001']","['C20707', 'C00031']","[1, 1]","[1, 1]"
9401,R10581,3-O-[alpha-L-Rha-(1->4)-[alpha-L-Rha-(1->2)]-beta-D-Glc]diosgenin hydrolase (diosgenin-forming),C08897 + 3 C00001 <=> C00031 + 2 C00507 + C08898,Dioscin + 3 H2O <=> D-Glucose + 2 L-Rhamnose + Diosgenin,3.2.1.189,"['C08897', 'C00001']","['C00031', 'C00507', 'C08898']","[1, '3']","[1, '2', 1]"
9402,R10582,3-O-[alpha-L-Rha-(1->4)-[alpha-L-Rha-(1->2)]-beta-D-Glc]diosgenin (3-O-beta-D-Glc-diosgenin-forming),C08897 + 2 C00001 <=> 2 C00507 + C20709,Dioscin + 2 H2O <=> 2 L-Rhamnose + Diosgenin 3-O-beta-D-glucopyranoside,3.2.1.190,"['C08897', 'C00001']","['C00507', 'C20709']","[1, '2']","['2', 1]"
9403,R10583,chorismate pyruvate-hydrolase,C00251 + C00001 <=> C20710 + C00022,"Chorismate + H2O <=> (4R,5R)-4,5-Dihydroxycyclohexa-1(6),2-diene-1-carboxylate + Pyruvate",3.3.2.13,"['C00251', 'C00001']","['C20710', 'C00022']","[1, 1]","[1, 1]"
9404,R10584,"(2E,6E)-farnesyl-diphosphate diphosphate-lyase (cyclizing, alpha-copaene-forming)",C00448 <=> C09639 + C00013,"trans,trans-Farnesyl diphosphate <=> alpha-Copaene + Diphosphate",4.2.3.133,['C00448'],"['C09639', 'C00013']",[1],"[1, 1]"
9405,R10585,"(+)-copaly-diphosphate diphosphate-lyase (cyclizing, miltiradiene-forming)",C11901 <=> C20711 + C00013,Copalyl diphosphate <=> Miltiradiene + Diphosphate,4.2.3.131,['C11901'],"['C20711', 'C00013']",[1],"[1, 1]"
9406,R10586,S-adenosyl-L-methionine:tRNA(Phe) {7-[(3S)-3-amino-3-carboxypropyl]wyosine37-O}-methyltransferase,C20649 + C00019 <=> C20659 + C00021,7-[(3S)-(3-Amino-3-carboxypropyl)]wyosine in tRNA(Phe) + S-Adenosyl-L-methionine <=> 7-[(3S)-3-Amino-3-(methoxycarbonyl)propyl]wyosine in tRNA(Phe) + S-Adenosyl-L-homocysteine,2.1.1.290,"['C20649', 'C00019']","['C20659', 'C00021']","[1, 1]","[1, 1]"
9407,R10587,S-adenosyl-L-methionine:tRNA(Phe) {7-[(3S)-3-amino-3-(methoxycarbonyl)propyl]wyosine37-N}-methyltransferase (carbon dioxide-adding),C20659 + C00019 + C00011 <=> C20660 + C00021,7-[(3S)-3-Amino-3-(methoxycarbonyl)propyl]wyosine in tRNA(Phe) + S-Adenosyl-L-methionine + CO2 <=> Wybutosine in tRNA(Phe) + S-Adenosyl-L-homocysteine,2.3.1.231,"['C20659', 'C00019', 'C00011']","['C20660', 'C00021']","[1, 1, 1]","[1, 1]"
9408,R10588,S-adenosyl-L-methionine:6-hydroxytryprostatin B O-methyltransferase,C00019 + C20513 <=> C00021 + C20607,S-Adenosyl-L-methionine + 6-Hydroxytryprostatin B <=> S-Adenosyl-L-homocysteine + Tryprostatin A,2.1.1.293,"['C00019', 'C20513']","['C00021', 'C20607']","[1, 1]","[1, 1]"
9409,R10589,anthraniloyl-CoA:3-oxodecanoate C-anthraniloyltransferase (decarboxylating),C20714 + C02247 <=> C00010 + C20643 + C00011 + C00001,3-Oxodecanoate + Anthraniloyl-CoA <=> CoA + 2-Heptyl-4(1H)-quinolone + CO2 + H2O,2.3.1.230,"['C20714', 'C02247']","['C00010', 'C20643', 'C00011', 'C00001']","[1, 1]","[1, 1, 1, 1]"
9410,R10590,octanoyl-CoA:2-aminobenzoylacetate octanoyltransferase,C01944 + C21487 <=> C21489 + C00010,Octanoyl-CoA + L-Cysteinyl-protein <=> S-Octanoyl-L-cysteinyl-protein + CoA,2.3.1.230,"['C01944', 'C21487']","['C21489', 'C00010']","[1, 1]","[1, 1]"
9411,R10591,"protopanaxadiol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (6alpha-hydroxylating)",C20715 + C03024 + C00007 <=> C20716 + C03161 + C00001,Protopanaxadiol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Protopanaxatriol + [Oxidized NADPH---hemoprotein reductase] + H2O,1.14.14.121,"['C20715', 'C03024', 'C00007']","['C20716', 'C03161', 'C00001']","[1, 1, 1]","[1, 1, 1]"
9412,R10593,"4-hydroxy-2,5-dimethylfuran-3(2H)-one:NADP+ oxidoreductase",C20717 + C00006 <=> C20718 + C00005 + C00080,"4-Hydroxy-2,5-dimethylfuran-3(2H)-one + NADP+ <=> 4-Hydroxy-5-methyl-2-methylenefuran-3(2H)-one + NADPH + H+",1.3.1.105,"['C20717', 'C00006']","['C20718', 'C00005', 'C00080']","[1, 1]","[1, 1, 1]"
9413,R10594,UDP-alpha-D-glucose:vancomycin aglycone 48-O-beta-glucosyltransferase,C00029 + C20719 <=> C00015 + C20720,UDP-glucose + Vancomycin aglycone <=> UDP + Desvancosaminyl-vancomycin,2.4.1.310,"['C00029', 'C20719']","['C00015', 'C20720']","[1, 1]","[1, 1]"
9414,R10595,dTDP-L-4-epi-vancosamine:desvancosaminyl-vancomycin vancosaminyltransferase,C12321 + C20720 <=> C00363 + C20721,dTDP-L-epivancosamine + Desvancosaminyl-vancomycin <=> dTDP + Chloroorienticin B,2.4.1.311,"['C12321', 'C20720']","['C00363', 'C20721']","[1, 1]","[1, 1]"
9415,R10596,UDP-N-acetyl-alpha-D-glucosamine:alpha-D-mannosyl-threonyl-[protein] 4-beta-N-acetyl-D-glucosaminyltransferase,C00043 + C20722 <=> C00015 + C20723,UDP-N-acetyl-alpha-D-glucosamine + 3-O-(alpha-D-Mannosyl)-L-threonyl-[protein] <=> UDP + 3-O-[N-Acetyl-beta-D-glucosaminyl-(1->4)-alpha-D-mannosyl]-L-threonyl-[protein],2.4.1.312,"['C00043', 'C20722']","['C00015', 'C20723']","[1, 1]","[1, 1]"
9416,R10597,chorismate pyruvate-lyase (3-hydroxybenzoate-forming),C00251 <=> C00587 + C00022,Chorismate <=> 3-Hydroxybenzoate + Pyruvate,4.1.3.45,['C00251'],"['C00587', 'C00022']",[1],"[1, 1]"
9417,R10598,"(2E,6E)-farnesyl diphosphate lyase (cyclizing, (+)-beta-chamigrene-forming)",C00448 <=> C19908 + C00013,"trans,trans-Farnesyl diphosphate <=> (+)-beta-Chamigrene + Diphosphate",4.2.3.78,['C00448'],"['C19908', 'C00013']",[1],"[1, 1]"
9418,R10599,"(2E,6E)-farnesyl diphosphate lyase (cyclizing, (+)-thujopsene-forming)",C00448 <=> C20724 + C00013,"trans,trans-Farnesyl diphosphate <=> (+)-Thujopsene + Diphosphate",4.2.3.79,['C00448'],"['C20724', 'C00013']",[1],"[1, 1]"
9419,R10600,acetyl-CoA:itaconate CoA-transferase,C00024 + C00490 <=> C00033 + C00531,Acetyl-CoA + Itaconate <=> Acetate + Itaconyl-CoA,2.8.3.-,"['C00024', 'C00490']","['C00033', 'C00531']","[1, 1]","[1, 1]"
9420,R10601,cyclohexane-1-carbonyl-CoA:electron transfer flavoprotein oxidoreductase,C09823 + C04253 <=> C09811 + C04570,Cyclohexane-1-carboxyl-CoA + Electron-transferring flavoprotein <=> Cyclohex-1-ene-1-carboxyl-CoA + Reduced electron-transferring flavoprotein,1.3.8.11,"['C09823', 'C04253']","['C09811', 'C04570']","[1, 1]","[1, 1]"
9421,R10602,reduced coenzyme F420:oxygen oxidoreductase,2 C01080 + C00007 <=> 2 C00876 + 2 C00001,2 Reduced coenzyme F420 + Oxygen <=> 2 Coenzyme F420 + 2 H2O,1.5.3.22,"['C01080', 'C00007']","['C00876', 'C00001']","['2', 1]","['2', '2']"
9422,R10603,coenzyme F420:ferredoxin oxidoreductase,C01080 + 2 C00139 <=> C00876 + 2 C00138 + 2 C00080,Reduced coenzyme F420 + 2 Oxidized ferredoxin <=> Coenzyme F420 + 2 Reduced ferredoxin + 2 H+,1.5.7.2,"['C01080', 'C00139']","['C00876', 'C00138', 'C00080']","[1, '2']","[1, '2', '2']"
9423,R10604,"D-Galactono-1,5-lactone + H2O <=> D-Galactonate",C02669 + C00001 <=> C00880,"D-Galactono-1,5-lactone + H2O <=> D-Galactonate",,"['C02669', 'C00001']",['C00880'],"[1, 1]",[1]
9424,R10605,S-adenosyl-L-methionine:(S)-reticuline 7-O-methyltransferase,C02105 + C00019 <=> C20712 + C00021,(S)-Reticuline + S-Adenosyl-L-methionine <=> (S)-Laudanine + S-Adenosyl-L-homocysteine,2.1.1.291,"['C02105', 'C00019']","['C20712', 'C00021']","[1, 1]","[1, 1]"
